Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CallRMTime, CommunicationTime, ReadTime, WriteTime, DBTime
101, 1, 1636486456753, 1636486457244, 491, 98, 0, 393, 31, 6, 37
102, 1, 1636486457498, 1636486457902, 404, 1, 0, 403, 0, 0, 0
103, 1, 1636486458158, 1636486458554, 396, 1, 0, 395, 0, 1, 1
104, 1, 1636486458810, 1636486459210, 400, 2, 0, 398, 0, 0, 0
105, 1, 1636486459466, 1636486459862, 396, 0, 0, 396, 0, 0, 0
106, 1, 1636486460118, 1636486460506, 388, 0, 0, 388, 0, 0, 0
107, 1, 1636486460762, 1636486461158, 396, 1, 0, 395, 0, 0, 0
108, 1, 1636486461414, 1636486461806, 392, 0, 0, 392, 0, 0, 0
109, 1, 1636486462062, 1636486462454, 392, 0, 0, 392, 0, 0, 0
110, 1, 1636486462710, 1636486463106, 396, 0, 0, 396, 0, 0, 0
111, 1, 1636486463362, 1636486463758, 396, 0, 0, 396, 0, 0, 0
112, 1, 1636486464022, 1636486464414, 392, 0, 0, 392, 0, 0, 0
113, 1, 1636486464678, 1636486465074, 396, 0, 0, 396, 0, 0, 0
114, 1, 1636486465330, 1636486465722, 392, 0, 0, 392, 0, 0, 0
115, 1, 1636486465978, 1636486466370, 392, 0, 0, 392, 0, 0, 0
116, 1, 1636486466622, 1636486467018, 396, 1, 0, 395, 0, 0, 0
117, 1, 1636486467274, 1636486467618, 344, 0, 0, 344, 0, 0, 0
118, 1, 1636486467870, 1636486468214, 344, 0, 0, 344, 0, 0, 0
119, 1, 1636486468466, 1636486468810, 344, 0, 0, 344, 0, 0, 0
120, 1, 1636486469062, 1636486469402, 340, 0, 0, 340, 0, 0, 0
121, 1, 1636486469658, 1636486470010, 352, 0, 0, 352, 0, 0, 0
122, 1, 1636486470262, 1636486470610, 348, 0, 0, 348, 0, 0, 0
123, 1, 1636486470862, 1636486471202, 340, 0, 0, 340, 0, 0, 0
124, 1, 1636486471454, 1636486471794, 340, 0, 0, 340, 0, 0, 0
125, 1, 1636486472054, 1636486472394, 340, 0, 0, 340, 0, 0, 0
126, 1, 1636486472654, 1636486472994, 340, 0, 0, 340, 0, 0, 0
127, 1, 1636486473250, 1636486473590, 340, 0, 0, 340, 0, 0, 0
128, 1, 1636486473842, 1636486474186, 344, 0, 0, 344, 0, 0, 0
129, 1, 1636486474442, 1636486474782, 340, 0, 0, 340, 0, 0, 0
130, 1, 1636486475034, 1636486475374, 340, 0, 0, 340, 0, 0, 0
131, 1, 1636486475630, 1636486475970, 340, 0, 0, 340, 0, 0, 0
132, 1, 1636486476222, 1636486476562, 340, 0, 0, 340, 0, 0, 0
133, 1, 1636486476818, 1636486477166, 348, 0, 0, 348, 0, 0, 0
134, 1, 1636486477418, 1636486477762, 344, 0, 0, 344, 0, 0, 0
135, 1, 1636486478014, 1636486478354, 340, 0, 0, 340, 0, 0, 0
136, 1, 1636486478606, 1636486478950, 344, 0, 0, 344, 0, 0, 0
137, 1, 1636486479202, 1636486479546, 344, 0, 0, 344, 0, 0, 0
138, 1, 1636486479798, 1636486480146, 348, 0, 0, 348, 0, 0, 0
139, 1, 1636486480402, 1636486480746, 344, 0, 0, 344, 0, 0, 0
140, 1, 1636486480998, 1636486481338, 340, 0, 0, 340, 0, 0, 0
141, 1, 1636486481594, 1636486481942, 348, 0, 0, 348, 0, 0, 0
142, 1, 1636486482194, 1636486482546, 352, 0, 0, 352, 0, 0, 0
143, 1, 1636486482798, 1636486483146, 348, 0, 0, 348, 0, 0, 0
144, 1, 1636486483398, 1636486483738, 340, 0, 0, 340, 0, 0, 0
145, 1, 1636486483990, 1636486484330, 340, 0, 0, 340, 0, 0, 0
146, 1, 1636486484582, 1636486484926, 344, 0, 0, 344, 0, 0, 0
147, 1, 1636486485182, 1636486485522, 340, 0, 0, 340, 0, 0, 0
148, 1, 1636486485774, 1636486486122, 348, 0, 0, 348, 0, 0, 0
149, 1, 1636486486374, 1636486486714, 340, 0, 0, 340, 0, 0, 0
150, 1, 1636486486966, 1636486487310, 344, 0, 0, 344, 0, 0, 0
151, 1, 1636486487562, 1636486487906, 344, 0, 0, 344, 0, 0, 0
152, 1, 1636486488158, 1636486488498, 340, 0, 0, 340, 0, 0, 0
153, 1, 1636486488754, 1636486489102, 348, 0, 0, 348, 0, 0, 0
154, 1, 1636486489354, 1636486489698, 344, 0, 0, 344, 0, 0, 0
155, 1, 1636486489950, 1636486490290, 340, 0, 0, 340, 0, 0, 0
156, 1, 1636486490546, 1636486490886, 340, 0, 0, 340, 0, 0, 0
157, 1, 1636486491142, 1636486491482, 340, 0, 0, 340, 0, 0, 0
158, 1, 1636486491734, 1636486492074, 340, 0, 0, 340, 0, 0, 0
159, 1, 1636486492334, 1636486492674, 340, 0, 0, 340, 0, 0, 0
160, 1, 1636486492926, 1636486493270, 344, 0, 0, 344, 0, 0, 0
161, 1, 1636486493522, 1636486493862, 340, 0, 0, 340, 0, 0, 0
162, 1, 1636486494114, 1636486494454, 340, 0, 0, 340, 0, 0, 0
163, 1, 1636486494706, 1636486495046, 340, 0, 0, 340, 0, 0, 0
164, 1, 1636486495298, 1636486495638, 340, 0, 0, 340, 0, 0, 0
165, 1, 1636486495894, 1636486496242, 348, 1, 0, 347, 0, 1, 1
166, 1, 1636486496494, 1636486496834, 340, 0, 0, 340, 0, 0, 0
167, 1, 1636486497086, 1636486497426, 340, 0, 0, 340, 0, 0, 0
168, 1, 1636486497678, 1636486498018, 340, 0, 0, 340, 0, 0, 0
169, 1, 1636486498270, 1636486498610, 340, 0, 0, 340, 0, 0, 0
