Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CallRMTime, CommunicationTime, ReadTime, WriteTime, DBTime
1, 1, 1636486380822, 1636486381383, 561, 150, 0, 411, 50, 13, 63
2, 1, 1636486381710, 1636486382107, 397, 6, 0, 391, 3, 0, 3
3, 1, 1636486382413, 1636486382810, 397, 5, 0, 392, 0, 0, 0
4, 1, 1636486383118, 1636486383510, 392, 4, 0, 388, 1, 1, 2
5, 1, 1636486383813, 1636486384210, 397, 4, 0, 393, 0, 0, 0
6, 1, 1636486384521, 1636486384918, 397, 3, 0, 394, 0, 0, 0
7, 1, 1636486385221, 1636486385622, 401, 4, 0, 397, 1, 0, 1
8, 1, 1636486385930, 1636486386321, 391, 2, 0, 389, 0, 0, 0
9, 1, 1636486386626, 1636486387027, 401, 4, 0, 397, 0, 1, 1
10, 1, 1636486387333, 1636486387730, 397, 3, 0, 394, 0, 0, 0
11, 1, 1636486388034, 1636486388426, 392, 4, 0, 388, 0, 1, 1
12, 1, 1636486388733, 1636486389130, 397, 3, 0, 394, 0, 0, 0
13, 1, 1636486389434, 1636486389826, 392, 3, 0, 389, 0, 1, 1
14, 1, 1636486390126, 1636486390518, 392, 5, 0, 387, 0, 0, 0
15, 1, 1636486390822, 1636486391218, 396, 2, 0, 394, 0, 1, 1
16, 1, 1636486391526, 1636486391927, 401, 8, 0, 393, 1, 0, 1
17, 1, 1636486392229, 1636486392630, 401, 4, 0, 397, 0, 0, 0
18, 1, 1636486392894, 1636486393246, 352, 3, 0, 349, 1, 0, 1
19, 1, 1636486393506, 1636486393858, 352, 3, 0, 349, 1, 0, 1
20, 1, 1636486394117, 1636486394466, 349, 3, 0, 346, 1, 0, 1
21, 1, 1636486394729, 1636486395094, 365, 4, 0, 361, 0, 0, 0
22, 1, 1636486395350, 1636486395698, 348, 4, 0, 344, 1, 0, 1
23, 1, 1636486395957, 1636486396306, 349, 4, 0, 345, 0, 0, 0
24, 1, 1636486396565, 1636486396910, 345, 4, 0, 341, 2, 0, 2
25, 1, 1636486397169, 1636486397526, 357, 4, 0, 353, 0, 0, 0
26, 1, 1636486397785, 1636486398130, 345, 4, 0, 341, 2, 0, 2
27, 1, 1636486398390, 1636486398742, 352, 3, 0, 349, 1, 0, 1
28, 1, 1636486399001, 1636486399346, 345, 4, 0, 341, 0, 1, 1
29, 1, 1636486399602, 1636486399954, 352, 3, 0, 349, 1, 0, 1
