Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CallRMTime, CommunicationTime, ReadTime, WriteTime, DBTime
1, 1, 1636486380608, 1636486381428, 820, 578, 515, 242, 0, 21, 21
2, 1, 1636486381492, 1636486382151, 659, 362, 358, 297, 0, 0, 0
3, 1, 1636486382193, 1636486382851, 658, 353, 349, 305, 0, 0, 0
4, 1, 1636486382894, 1636486383551, 657, 353, 349, 304, 0, 0, 0
5, 1, 1636486383594, 1636486384255, 661, 362, 357, 299, 0, 1, 1
6, 1, 1636486384298, 1636486384959, 661, 358, 353, 303, 0, 1, 1
7, 1, 1636486385002, 1636486385667, 665, 365, 361, 300, 0, 1, 1
8, 1, 1636486385710, 1636486386363, 653, 353, 351, 300, 0, 1, 1
9, 1, 1636486386410, 1636486387071, 661, 361, 359, 300, 0, 0, 0
10, 1, 1636486387113, 1636486387775, 662, 361, 357, 301, 0, 0, 0
11, 1, 1636486387818, 1636486388467, 649, 353, 350, 296, 0, 1, 1
12, 1, 1636486388510, 1636486389175, 665, 369, 366, 296, 0, 0, 0
13, 1, 1636486389218, 1636486389867, 649, 353, 350, 296, 0, 1, 1
14, 1, 1636486389910, 1636486390563, 653, 357, 355, 296, 0, 0, 0
15, 1, 1636486390606, 1636486391263, 657, 361, 359, 296, 0, 0, 0
16, 1, 1636486391306, 1636486391971, 665, 366, 358, 299, 0, 0, 0
17, 1, 1636486392014, 1636486392675, 661, 365, 363, 296, 0, 0, 0
18, 1, 1636486392676, 1636486393287, 611, 355, 353, 256, 0, 0, 0
19, 1, 1636486393288, 1636486393899, 611, 355, 353, 256, 0, 1, 1
20, 1, 1636486393900, 1636486394507, 607, 351, 349, 256, 0, 1, 1
21, 1, 1636486394508, 1636486395135, 627, 360, 359, 267, 0, 0, 0
22, 1, 1636486395136, 1636486395739, 603, 352, 350, 251, 0, 1, 1
23, 1, 1636486395740, 1636486396347, 607, 351, 349, 256, 0, 1, 1
24, 1, 1636486396348, 1636486396951, 603, 347, 345, 256, 0, 1, 1
25, 1, 1636486396952, 1636486397567, 615, 359, 357, 256, 0, 0, 0
26, 1, 1636486397569, 1636486398171, 602, 347, 345, 255, 0, 0, 0
27, 1, 1636486398172, 1636486398783, 611, 351, 349, 260, 0, 1, 1
