Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CallRMTime, CommunicationTime, ReadTime, WriteTime, DBTime
201, 1, 1636486526901, 1636486527405, 504, 112, 0, 392, 36, 10, 46
202, 1, 1636486527658, 1636486528059, 401, 4, 0, 397, 3, 0, 3
203, 1, 1636486528314, 1636486528715, 401, 4, 0, 397, 2, 0, 2
204, 1, 1636486528970, 1636486529367, 397, 4, 0, 393, 1, 0, 1
205, 1, 1636486529622, 1636486530019, 397, 4, 0, 393, 1, 0, 1
206, 1, 1636486530274, 1636486530671, 397, 4, 0, 393, 2, 0, 2
207, 1, 1636486530926, 1636486531327, 401, 4, 0, 397, 2, 0, 2
208, 1, 1636486531582, 1636486531983, 401, 4, 0, 397, 2, 0, 2
209, 1, 1636486532238, 1636486532635, 397, 3, 0, 394, 2, 0, 2
210, 1, 1636486532890, 1636486533287, 397, 4, 0, 393, 1, 0, 1
211, 1, 1636486533542, 1636486533943, 401, 4, 0, 397, 3, 0, 3
212, 1, 1636486534210, 1636486534607, 397, 4, 0, 393, 2, 0, 2
213, 1, 1636486534862, 1636486535259, 397, 4, 0, 393, 1, 0, 1
214, 1, 1636486535514, 1636486535910, 396, 3, 0, 393, 3, 0, 3
215, 1, 1636486536166, 1636486536571, 405, 4, 0, 401, 2, 0, 2
216, 1, 1636486536826, 1636486537227, 401, 5, 0, 396, 0, 0, 0
217, 1, 1636486537482, 1636486537835, 353, 3, 0, 350, 1, 0, 1
218, 1, 1636486538090, 1636486538442, 352, 2, 0, 350, 0, 1, 1
219, 1, 1636486538698, 1636486539055, 357, 4, 0, 353, 0, 1, 1
220, 1, 1636486539310, 1636486539663, 353, 2, 0, 351, 0, 0, 0
221, 1, 1636486539918, 1636486540270, 352, 3, 0, 349, 1, 0, 1
222, 1, 1636486540530, 1636486540882, 352, 3, 0, 349, 2, 0, 2
223, 1, 1636486541138, 1636486541490, 352, 1, 0, 351, 0, 0, 0
224, 1, 1636486541750, 1636486542103, 353, 4, 0, 349, 0, 0, 0
225, 1, 1636486542358, 1636486542710, 352, 2, 0, 350, 0, 1, 1
226, 1, 1636486542966, 1636486543318, 352, 2, 0, 350, 0, 1, 1
227, 1, 1636486543574, 1636486543926, 352, 1, 0, 351, 0, 1, 1
228, 1, 1636486544182, 1636486544538, 356, 2, 0, 354, 0, 0, 0
229, 1, 1636486544794, 1636486545150, 356, 2, 0, 354, 0, 1, 1
230, 1, 1636486545406, 1636486545758, 352, 3, 0, 349, 0, 1, 1
231, 1, 1636486546014, 1636486546366, 352, 1, 0, 351, 0, 0, 0
232, 1, 1636486546622, 1636486546975, 353, 3, 0, 350, 0, 0, 0
233, 1, 1636486547230, 1636486547590, 360, 3, 0, 357, 1, 0, 1
234, 1, 1636486547846, 1636486548206, 360, 2, 0, 358, 0, 1, 1
235, 1, 1636486548462, 1636486548814, 352, 1, 0, 351, 0, 0, 0
236, 1, 1636486549070, 1636486549426, 356, 1, 0, 355, 0, 0, 0
237, 1, 1636486549682, 1636486550038, 356, 0, 0, 356, 0, 0, 0
238, 1, 1636486550294, 1636486550646, 352, 1, 0, 351, 0, 0, 0
239, 1, 1636486550904, 1636486551254, 350, 2, 0, 348, 0, 0, 0
240, 1, 1636486551514, 1636486551866, 352, 0, 0, 352, 0, 0, 0
241, 1, 1636486552122, 1636486552474, 352, 0, 0, 352, 0, 0, 0
242, 1, 1636486552734, 1636486553086, 352, 1, 0, 351, 0, 0, 0
243, 1, 1636486553342, 1636486553695, 353, 3, 0, 350, 0, 0, 0
244, 1, 1636486553950, 1636486554302, 352, 1, 0, 351, 0, 1, 1
245, 1, 1636486554562, 1636486554918, 356, 0, 0, 356, 0, 0, 0
246, 1, 1636486555174, 1636486555526, 352, 1, 0, 351, 0, 0, 0
247, 1, 1636486555790, 1636486556142, 352, 0, 0, 352, 0, 0, 0
248, 1, 1636486556398, 1636486556750, 352, 2, 0, 350, 0, 0, 0
249, 1, 1636486557006, 1636486557362, 356, 1, 0, 355, 0, 0, 0
250, 1, 1636486557618, 1636486557970, 352, 0, 0, 352, 0, 0, 0
251, 1, 1636486558226, 1636486558578, 352, 0, 0, 352, 0, 0, 0
252, 1, 1636486558834, 1636486559195, 361, 1, 0, 360, 0, 0, 0
253, 1, 1636486559450, 1636486559806, 356, 0, 0, 356, 0, 0, 0
254, 1, 1636486560062, 1636486560418, 356, 1, 0, 355, 0, 0, 0
255, 1, 1636486560674, 1636486561026, 352, 0, 0, 352, 0, 0, 0
