Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CommunicationTime, ReadTime, WriteTime, DBTime
22, 1, 1636407292189, 1636407292675, 486, 78, 408, 34, 6, 40
24, 1, 1636407293014, 1636407293418, 404, 4, 400, 0, 1, 1
26, 1, 1636407293687, 1636407294094, 407, 3, 404, 1, 1, 2
28, 1, 1636407294358, 1636407294767, 409, 4, 405, 1, 1, 2
31, 1, 1636407295030, 1636407295438, 408, 4, 404, 2, 1, 3
33, 1, 1636407295706, 1636407296111, 405, 3, 402, 0, 0, 0
35, 1, 1636407296374, 1636407296779, 405, 4, 401, 1, 0, 1
37, 1, 1636407297042, 1636407297450, 408, 4, 404, 2, 0, 2
39, 1, 1636407297714, 1636407298126, 412, 4, 408, 2, 0, 2
41, 1, 1636407298386, 1636407298786, 400, 3, 397, 1, 0, 1
43, 1, 1636407299054, 1636407299458, 404, 3, 401, 2, 0, 2
45, 1, 1636407299722, 1636407300122, 400, 3, 397, 2, 1, 3
47, 1, 1636407300382, 1636407300778, 396, 2, 394, 1, 0, 1
49, 1, 1636407301042, 1636407301442, 400, 3, 397, 1, 0, 1
51, 1, 1636407301710, 1636407302106, 396, 3, 393, 2, 0, 2
53, 1, 1636407302370, 1636407302779, 409, 5, 404, 1, 0, 1
55, 1, 1636407303042, 1636407303398, 356, 3, 353, 2, 1, 3
57, 1, 1636407303666, 1636407304018, 352, 2, 350, 0, 1, 1
59, 1, 1636407304282, 1636407304638, 356, 3, 353, 1, 0, 1
61, 1, 1636407304902, 1636407305254, 352, 3, 349, 0, 0, 0
63, 1, 1636407305514, 1636407305870, 356, 2, 354, 2, 0, 2
65, 1, 1636407306134, 1636407306490, 356, 1, 355, 0, 0, 0
67, 1, 1636407306750, 1636407307102, 352, 3, 349, 0, 0, 0
69, 1, 1636407307362, 1636407307714, 352, 3, 349, 1, 0, 1
71, 1, 1636407307974, 1636407308326, 352, 3, 349, 0, 1, 1
73, 1, 1636407308590, 1636407308942, 352, 2, 350, 0, 1, 1
76, 1, 1636407309206, 1636407309558, 352, 1, 351, 0, 1, 1
79, 1, 1636407309818, 1636407310170, 352, 0, 352, 0, 0, 0
82, 1, 1636407310430, 1636407310782, 352, 1, 351, 0, 1, 1
85, 1, 1636407311042, 1636407311394, 352, 1, 351, 0, 1, 1
88, 1, 1636407311654, 1636407312010, 356, 0, 356, 0, 0, 0
91, 1, 1636407312270, 1636407312626, 356, 0, 356, 0, 0, 0
94, 1, 1636407312890, 1636407313242, 352, 1, 351, 1, 0, 1
96, 1, 1636407313506, 1636407313858, 352, 2, 350, 0, 0, 0
99, 1, 1636407314118, 1636407314470, 352, 2, 350, 0, 0, 0
102, 1, 1636407314730, 1636407315082, 352, 1, 351, 0, 1, 1
105, 1, 1636407315346, 1636407315698, 352, 0, 352, 0, 0, 0
108, 1, 1636407315958, 1636407316310, 352, 1, 351, 0, 1, 1
111, 1, 1636407316570, 1636407316922, 352, 2, 350, 0, 0, 0
114, 1, 1636407317190, 1636407317542, 352, 2, 350, 0, 0, 0
117, 1, 1636407317802, 1636407318154, 352, 0, 352, 0, 0, 0
120, 1, 1636407318414, 1636407318766, 352, 2, 350, 0, 0, 0
123, 1, 1636407319026, 1636407319378, 352, 3, 349, 0, 0, 0
126, 1, 1636407319642, 1636407319994, 352, 0, 352, 0, 0, 0
129, 1, 1636407320254, 1636407320606, 352, 0, 352, 0, 0, 0
132, 1, 1636407320866, 1636407321218, 352, 0, 352, 0, 0, 0
135, 1, 1636407321478, 1636407321830, 352, 1, 351, 0, 0, 0
138, 1, 1636407322090, 1636407322442, 352, 2, 350, 0, 0, 0
141, 1, 1636407322701, 1636407323054, 353, 1, 352, 0, 0, 0
144, 1, 1636407323314, 1636407323666, 352, 0, 352, 0, 0, 0
147, 1, 1636407323926, 1636407324278, 352, 1, 351, 0, 0, 0
150, 1, 1636407324538, 1636407324890, 352, 1, 351, 0, 0, 0
153, 1, 1636407325150, 1636407325502, 352, 1, 351, 0, 1, 1
156, 1, 1636407325762, 1636407326114, 352, 1, 351, 0, 0, 0
159, 1, 1636407326373, 1636407326726, 353, 2, 351, 1, 0, 1
162, 1, 1636407326986, 1636407327338, 352, 1, 351, 0, 0, 0
165, 1, 1636407327598, 1636407327950, 352, 1, 351, 1, 0, 1
168, 1, 1636407328210, 1636407328562, 352, 1, 351, 0, 0, 0
171, 1, 1636407328826, 1636407329182, 356, 0, 356, 0, 0, 0
174, 1, 1636407329442, 1636407329794, 352, 0, 352, 0, 0, 0
