Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CallRMTime, CommunicationTime, ReadTime, WriteTime, DBTime
101, 1, 1636484746886, 1636484747367, 481, 87, 0, 394, 30, 7, 37
102, 1, 1636484747642, 1636484748038, 396, 0, 0, 396, 0, 0, 0
103, 1, 1636484748298, 1636484748698, 400, 1, 0, 399, 0, 0, 0
104, 1, 1636484748958, 1636484749354, 396, 0, 0, 396, 0, 0, 0
105, 1, 1636484749614, 1636484750010, 396, 0, 0, 396, 0, 0, 0
106, 1, 1636484750270, 1636484750666, 396, 1, 0, 395, 0, 0, 0
107, 1, 1636484750926, 1636484751318, 392, 0, 0, 392, 0, 0, 0
108, 1, 1636484751578, 1636484751970, 392, 0, 0, 392, 0, 0, 0
109, 1, 1636484752230, 1636484752626, 396, 0, 0, 396, 0, 0, 0
110, 1, 1636484752886, 1636484753278, 392, 0, 0, 392, 0, 0, 0
111, 1, 1636484753538, 1636484753934, 396, 0, 0, 396, 0, 0, 0
112, 1, 1636484754198, 1636484754590, 392, 0, 0, 392, 0, 0, 0
113, 1, 1636484754854, 1636484755250, 396, 0, 0, 396, 0, 0, 0
114, 1, 1636484755510, 1636484755906, 396, 0, 0, 396, 0, 0, 0
115, 1, 1636484756162, 1636484756554, 392, 0, 0, 392, 0, 0, 0
116, 1, 1636484756814, 1636484757210, 396, 1, 0, 395, 0, 0, 0
117, 1, 1636484757470, 1636484757822, 352, 0, 0, 352, 0, 0, 0
118, 1, 1636484758082, 1636484758426, 344, 0, 0, 344, 0, 0, 0
119, 1, 1636484758682, 1636484759026, 344, 0, 0, 344, 0, 0, 0
120, 1, 1636484759286, 1636484759630, 344, 0, 0, 344, 0, 0, 0
121, 1, 1636484759882, 1636484760230, 348, 0, 0, 348, 0, 0, 0
122, 1, 1636484760482, 1636484760826, 344, 0, 0, 344, 0, 0, 0
123, 1, 1636484761086, 1636484761426, 340, 0, 0, 340, 0, 0, 0
124, 1, 1636484761682, 1636484762022, 340, 0, 0, 340, 0, 0, 0
125, 1, 1636484762278, 1636484762618, 340, 0, 0, 340, 0, 0, 0
126, 1, 1636484762874, 1636484763214, 340, 0, 0, 340, 0, 0, 0
127, 1, 1636484763478, 1636484763822, 344, 0, 0, 344, 0, 0, 0
128, 1, 1636484764074, 1636484764414, 340, 0, 0, 340, 0, 0, 0
129, 1, 1636484764674, 1636484765014, 340, 0, 0, 340, 0, 0, 0
130, 1, 1636484765274, 1636484765614, 340, 0, 0, 340, 0, 0, 0
131, 1, 1636484765870, 1636484766210, 340, 0, 0, 340, 0, 0, 0
132, 1, 1636484766466, 1636484766810, 344, 0, 0, 344, 0, 0, 0
133, 1, 1636484767070, 1636484767414, 344, 0, 0, 344, 0, 0, 0
134, 1, 1636484767674, 1636484768014, 340, 0, 0, 340, 0, 0, 0
135, 1, 1636484768270, 1636484768610, 340, 0, 0, 340, 0, 0, 0
136, 1, 1636484768870, 1636484769214, 344, 0, 0, 344, 0, 0, 0
137, 1, 1636484769470, 1636484769810, 340, 0, 0, 340, 0, 0, 0
138, 1, 1636484770066, 1636484770406, 340, 0, 0, 340, 0, 0, 0
139, 1, 1636484770666, 1636484771006, 340, 0, 0, 340, 0, 0, 0
140, 1, 1636484771262, 1636484771606, 344, 0, 0, 344, 0, 0, 0
141, 1, 1636484771858, 1636484772198, 340, 0, 0, 340, 0, 0, 0
142, 1, 1636484772454, 1636484772798, 344, 0, 0, 344, 0, 0, 0
143, 1, 1636484773054, 1636484773394, 340, 0, 0, 340, 0, 0, 0
144, 1, 1636484773658, 1636484773998, 340, 0, 0, 340, 0, 0, 0
145, 1, 1636484774254, 1636484774594, 340, 0, 0, 340, 0, 0, 0
146, 1, 1636484774858, 1636484775206, 348, 0, 0, 348, 0, 0, 0
147, 1, 1636484775466, 1636484775806, 340, 0, 0, 340, 0, 0, 0
148, 1, 1636484776062, 1636484776402, 340, 0, 0, 340, 0, 0, 0
149, 1, 1636484776662, 1636484777002, 340, 0, 0, 340, 0, 0, 0
150, 1, 1636484777266, 1636484777610, 344, 0, 0, 344, 0, 0, 0
151, 1, 1636484777870, 1636484778214, 344, 0, 0, 344, 0, 0, 0
152, 1, 1636484778470, 1636484778810, 340, 0, 0, 340, 0, 0, 0
153, 1, 1636484779066, 1636484779410, 344, 0, 0, 344, 0, 0, 0
154, 1, 1636484779670, 1636484780018, 348, 0, 0, 348, 0, 0, 0
155, 1, 1636484780274, 1636484780614, 340, 0, 0, 340, 0, 0, 0
156, 1, 1636484780874, 1636484781214, 340, 0, 0, 340, 0, 0, 0
157, 1, 1636484781470, 1636484781810, 340, 0, 0, 340, 0, 0, 0
158, 1, 1636484782066, 1636484782406, 340, 0, 0, 340, 0, 0, 0
159, 1, 1636484782662, 1636484783002, 340, 0, 0, 340, 0, 0, 0
160, 1, 1636484783258, 1636484783602, 344, 0, 0, 344, 0, 0, 0
161, 1, 1636484783866, 1636484784206, 340, 0, 0, 340, 0, 0, 0
162, 1, 1636484784462, 1636484784802, 340, 0, 0, 340, 0, 0, 0
163, 1, 1636484785058, 1636484785398, 340, 0, 0, 340, 0, 0, 0
164, 1, 1636484785650, 1636484785990, 340, 0, 0, 340, 0, 0, 0
165, 1, 1636484786254, 1636484786594, 340, 0, 0, 340, 0, 0, 0
166, 1, 1636484786850, 1636484787190, 340, 0, 0, 340, 0, 0, 0
167, 1, 1636484787442, 1636484787782, 340, 0, 0, 340, 0, 0, 0
168, 1, 1636484788038, 1636484788382, 344, 0, 0, 344, 0, 0, 0
169, 1, 1636484788638, 1636484788982, 344, 0, 0, 344, 0, 0, 0
170, 1, 1636484789234, 1636484789574, 340, 0, 0, 340, 0, 0, 0
171, 1, 1636484789830, 1636484790170, 340, 0, 0, 340, 0, 0, 0
172, 1, 1636484790422, 1636484790762, 340, 0, 0, 340, 0, 0, 0
173, 1, 1636484791018, 1636484791358, 340, 0, 0, 340, 0, 0, 0
174, 1, 1636484791610, 1636484791950, 340, 0, 0, 340, 0, 0, 0
175, 1, 1636484792206, 1636484792546, 340, 0, 0, 340, 0, 0, 0
176, 1, 1636484792802, 1636484793142, 340, 0, 0, 340, 0, 0, 0
177, 1, 1636484793398, 1636484793742, 344, 0, 0, 344, 0, 0, 0
178, 1, 1636484793994, 1636484794334, 340, 0, 0, 340, 0, 0, 0
179, 1, 1636484794590, 1636484794934, 344, 0, 0, 344, 0, 0, 0
180, 1, 1636484795194, 1636484795538, 344, 0, 0, 344, 0, 0, 0
181, 1, 1636484795802, 1636484796146, 344, 0, 0, 344, 0, 0, 0
182, 1, 1636484796398, 1636484796742, 344, 0, 0, 344, 0, 0, 0
183, 1, 1636484796998, 1636484797338, 340, 0, 0, 340, 0, 0, 0
184, 1, 1636484797590, 1636484797930, 340, 0, 0, 340, 0, 0, 0
185, 1, 1636484798186, 1636484798526, 340, 0, 0, 340, 0, 0, 0
186, 1, 1636484798782, 1636484799122, 340, 0, 0, 340, 0, 0, 0
187, 1, 1636484799378, 1636484799718, 340, 0, 0, 340, 0, 0, 0
188, 1, 1636484799974, 1636484800318, 344, 0, 0, 344, 0, 0, 0
189, 1, 1636484800574, 1636484800914, 340, 0, 0, 340, 0, 0, 0
190, 1, 1636484801170, 1636484801510, 340, 0, 0, 340, 0, 0, 0
191, 1, 1636484801766, 1636484802110, 344, 0, 0, 344, 0, 0, 0
192, 1, 1636484802366, 1636484802706, 340, 0, 0, 340, 0, 0, 0
193, 1, 1636484802962, 1636484803302, 340, 0, 0, 340, 0, 0, 0
