Xid, State, StartTime, EndTime, ExecuteTime, ReadTime, WriteTime, DBTime
1, 1, 1636321266670, 1636321266718, 48, 11, 3, 14
2, 1, 1636321266747, 1636321266761, 14, 0, 0, 0
3, 1, 1636321266765, 1636321266779, 14, 0, 1, 1
4, 1, 1636321266783, 1636321266794, 11, 0, 0, 0
5, 1, 1636321266797, 1636321266804, 7, 1, 0, 1
6, 1, 1636321266806, 1636321266813, 7, 0, 0, 0
7, 1, 1636321266815, 1636321266821, 6, 0, 0, 0
8, 1, 1636321266823, 1636321266829, 6, 0, 0, 0
9, 1, 1636321266831, 1636321266836, 5, 1, 0, 1
10, 1, 1636321266838, 1636321266844, 6, 1, 0, 1
11, 1, 1636321266846, 1636321266854, 8, 0, 0, 0
12, 1, 1636321266857, 1636321266862, 5, 2, 0, 2
13, 1, 1636321266864, 1636321266871, 7, 1, 0, 1
14, 1, 1636321266873, 1636321266879, 6, 0, 0, 0
15, 1, 1636321266884, 1636321266889, 5, 0, 0, 0
16, 1, 1636321266892, 1636321266900, 8, 0, 0, 0
17, 1, 1636321266902, 1636321266908, 6, 0, 0, 0
18, 1, 1636321266910, 1636321266915, 5, 0, 0, 0
19, 1, 1636321266917, 1636321266922, 5, 0, 0, 0
20, 1, 1636321266924, 1636321266928, 4, 0, 0, 0
21, 1, 1636321266930, 1636321266935, 5, 1, 0, 1
22, 1, 1636321266937, 1636321266941, 4, 0, 0, 0
23, 1, 1636321266943, 1636321266947, 4, 0, 0, 0
24, 1, 1636321266949, 1636321266953, 4, 0, 0, 0
25, 1, 1636321266955, 1636321266960, 5, 1, 0, 1
26, 1, 1636321266962, 1636321266966, 4, 0, 0, 0
27, 1, 1636321266968, 1636321266977, 9, 0, 0, 0
28, 1, 1636321266979, 1636321266984, 5, 0, 0, 0
29, 1, 1636321266986, 1636321266991, 5, 0, 0, 0
30, 1, 1636321266992, 1636321266997, 5, 1, 0, 1
31, 1, 1636321266998, 1636321267002, 4, 0, 0, 0
32, 1, 1636321267004, 1636321267009, 5, 0, 0, 0
33, 1, 1636321267012, 1636321267016, 4, 0, 0, 0
34, 1, 1636321267018, 1636321267022, 4, 0, 0, 0
35, 1, 1636321267023, 1636321267027, 4, 0, 0, 0
36, 1, 1636321267029, 1636321267034, 5, 0, 0, 0
37, 1, 1636321267036, 1636321267040, 4, 0, 0, 0
38, 1, 1636321267042, 1636321267046, 4, 0, 0, 0
39, 1, 1636321267048, 1636321267053, 5, 0, 0, 0
40, 1, 1636321267055, 1636321267059, 4, 0, 0, 0
41, 1, 1636321267061, 1636321267065, 4, 0, 0, 0
42, 1, 1636321267067, 1636321267072, 5, 0, 0, 0
43, 1, 1636321267074, 1636321267080, 6, 0, 0, 0
44, 1, 1636321267081, 1636321267087, 6, 0, 0, 0
45, 1, 1636321267089, 1636321267094, 5, 0, 0, 0
46, 1, 1636321267096, 1636321267102, 6, 0, 0, 0
47, 1, 1636321267104, 1636321267109, 5, 0, 0, 0
48, 1, 1636321267111, 1636321267116, 5, 1, 0, 1
49, 1, 1636321267118, 1636321267123, 5, 1, 1, 2
50, 1, 1636321267125, 1636321267129, 4, 0, 0, 0
51, 1, 1636321267131, 1636321267135, 4, 0, 0, 0
52, 1, 1636321267137, 1636321267142, 5, 0, 0, 0
53, 1, 1636321267143, 1636321267148, 5, 0, 0, 0
