Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CommunicationTime, ReadTime, WriteTime, DBTime
1, 1, 1636410873396, 1636410873920, 524, 76, 448, 33, 6, 39
2, 1, 1636410874343, 1636410874755, 412, 4, 408, 2, 1, 3
3, 1, 1636410875071, 1636410875487, 416, 4, 412, 2, 1, 3
4, 1, 1636410875803, 1636410876211, 408, 4, 404, 1, 0, 1
5, 1, 1636410876519, 1636410876931, 412, 3, 409, 2, 0, 2
6, 1, 1636410877247, 1636410877647, 400, 3, 397, 1, 0, 1
7, 1, 1636410877963, 1636410878375, 412, 4, 408, 2, 0, 2
8, 1, 1636410878691, 1636410879095, 404, 3, 401, 2, 0, 2
9, 1, 1636410879407, 1636410879822, 415, 2, 413, 0, 0, 0
10, 1, 1636410880131, 1636410880543, 412, 3, 409, 2, 0, 2
11, 1, 1636410880854, 1636410881259, 405, 3, 402, 0, 0, 0
12, 1, 1636410881567, 1636410881975, 408, 3, 405, 0, 1, 1
13, 1, 1636410882283, 1636410882683, 400, 2, 398, 1, 1, 2
14, 1, 1636410882991, 1636410883391, 400, 3, 397, 0, 1, 1
15, 1, 1636410883699, 1636410884103, 404, 3, 401, 0, 1, 1
17, 1, 1636410884415, 1636410884836, 421, 6, 415, 0, 0, 0
19, 1, 1636410885146, 1636410885511, 365, 2, 363, 0, 0, 0
21, 1, 1636410885775, 1636410886135, 360, 2, 358, 0, 1, 1
23, 1, 1636410886399, 1636410886763, 364, 2, 362, 0, 1, 1
24, 1, 1636410887027, 1636410887391, 364, 1, 363, 0, 0, 0
26, 1, 1636410887655, 1636410888015, 360, 2, 358, 1, 0, 1
28, 1, 1636410888279, 1636410888635, 356, 2, 354, 0, 1, 1
30, 1, 1636410888898, 1636410889259, 361, 1, 360, 0, 0, 0
32, 1, 1636410889523, 1636410889883, 360, 0, 360, 0, 0, 0
34, 1, 1636410890151, 1636410890515, 364, 0, 364, 0, 0, 0
36, 1, 1636410890779, 1636410891143, 364, 1, 363, 0, 0, 0
38, 1, 1636410891411, 1636410891771, 360, 1, 359, 0, 0, 0
40, 1, 1636410892039, 1636410892398, 359, 0, 359, 0, 0, 0
42, 1, 1636410892663, 1636410893023, 360, 2, 358, 0, 0, 0
44, 1, 1636410893287, 1636410893647, 360, 1, 359, 0, 0, 0
46, 1, 1636410893911, 1636410894267, 356, 1, 355, 1, 0, 1
48, 1, 1636410894530, 1636410894883, 353, 1, 352, 0, 0, 0
49, 1, 1636410895150, 1636410895507, 357, 2, 355, 1, 0, 1
51, 1, 1636410895771, 1636410896131, 360, 0, 360, 0, 0, 0
53, 1, 1636410896395, 1636410896755, 360, 1, 359, 1, 0, 1
55, 1, 1636410897019, 1636410897375, 356, 0, 356, 0, 0, 0
57, 1, 1636410897639, 1636410897994, 355, 1, 354, 0, 0, 0
59, 1, 1636410898259, 1636410898610, 351, 1, 350, 1, 0, 1
62, 1, 1636410898879, 1636410899231, 352, 0, 352, 0, 0, 0
65, 1, 1636410899495, 1636410899854, 359, 1, 358, 0, 0, 0
67, 1, 1636410900118, 1636410900471, 353, 3, 350, 1, 1, 2
70, 1, 1636410900743, 1636410901094, 351, 1, 350, 1, 0, 1
73, 1, 1636410901358, 1636410901710, 352, 3, 349, 2, 0, 2
76, 1, 1636410901974, 1636410902327, 353, 3, 350, 0, 1, 1
79, 1, 1636410902591, 1636410902946, 355, 1, 354, 0, 0, 0
82, 1, 1636410903211, 1636410903571, 360, 1, 359, 0, 0, 0
85, 1, 1636410903835, 1636410904186, 351, 2, 349, 1, 0, 1
88, 1, 1636410904450, 1636410904810, 360, 1, 359, 0, 0, 0
91, 1, 1636410905074, 1636410905427, 353, 2, 351, 0, 0, 0
94, 1, 1636410905690, 1636410906043, 353, 2, 351, 1, 0, 1
97, 1, 1636410906310, 1636410906663, 353, 3, 350, 2, 0, 2
100, 1, 1636410906927, 1636410907278, 351, 0, 351, 0, 0, 0
103, 1, 1636410907546, 1636410907899, 353, 2, 351, 0, 0, 0
105, 1, 1636410908162, 1636410908518, 356, 2, 354, 0, 0, 0
108, 1, 1636410908787, 1636410909143, 356, 1, 355, 0, 0, 0
111, 1, 1636410909407, 1636410909759, 352, 2, 350, 1, 0, 1
114, 1, 1636410910023, 1636410910379, 356, 0, 356, 0, 0, 0
117, 1, 1636410910642, 1636410910998, 356, 2, 354, 1, 0, 1
120, 1, 1636410911262, 1636410911614, 352, 3, 349, 0, 1, 1
123, 1, 1636410911879, 1636410912231, 352, 0, 352, 0, 0, 0
126, 1, 1636410912495, 1636410912851, 356, 0, 356, 0, 0, 0
129, 1, 1636410913114, 1636410913467, 353, 2, 351, 0, 0, 0
132, 1, 1636410913731, 1636410914083, 352, 0, 352, 0, 0, 0
135, 1, 1636410914351, 1636410914702, 351, 1, 350, 1, 0, 1
138, 1, 1636410914970, 1636410915322, 352, 1, 351, 1, 0, 1
141, 1, 1636410915587, 1636410915943, 356, 1, 355, 0, 0, 0
144, 1, 1636410916207, 1636410916558, 351, 2, 349, 0, 0, 0
147, 1, 1636410916822, 1636410917174, 352, 2, 350, 0, 0, 0
150, 1, 1636410917439, 1636410917791, 352, 0, 352, 0, 0, 0
153, 1, 1636410918054, 1636410918407, 353, 2, 351, 0, 1, 1
156, 1, 1636410918670, 1636410919026, 356, 2, 354, 0, 1, 1
159, 1, 1636410919290, 1636410919642, 352, 1, 351, 0, 0, 0
162, 1, 1636410919906, 1636410920263, 357, 2, 355, 0, 0, 0
165, 1, 1636410920527, 1636410920879, 352, 2, 350, 0, 0, 0
168, 1, 1636410921146, 1636410921503, 357, 3, 354, 1, 0, 1
171, 1, 1636410921767, 1636410922119, 352, 2, 350, 1, 0, 1
174, 1, 1636410922382, 1636410922735, 353, 3, 350, 1, 1, 2
177, 1, 1636410923007, 1636410923359, 352, 1, 351, 0, 0, 0
180, 1, 1636410923626, 1636410923979, 353, 2, 351, 0, 0, 0
183, 1, 1636410924247, 1636410924598, 351, 2, 349, 0, 0, 0
186, 1, 1636410924862, 1636410925215, 353, 2, 351, 0, 0, 0
189, 1, 1636410925478, 1636410925835, 357, 2, 355, 0, 0, 0
192, 1, 1636410926098, 1636410926462, 364, 2, 362, 1, 0, 1
195, 1, 1636410926730, 1636410927082, 352, 3, 349, 0, 0, 0
198, 1, 1636410927347, 1636410927698, 351, 2, 349, 2, 0, 2
201, 1, 1636410927962, 1636410928315, 353, 3, 350, 1, 0, 1
204, 1, 1636410928578, 1636410928931, 353, 1, 352, 0, 0, 0
207, 1, 1636410929194, 1636410929546, 352, 3, 349, 1, 0, 1
210, 1, 1636410929810, 1636410930162, 352, 3, 349, 1, 1, 2
213, 1, 1636410930426, 1636410930779, 353, 3, 350, 2, 0, 2
216, 1, 1636410931046, 1636410931407, 361, 1, 360, 0, 0, 0
219, 1, 1636410931670, 1636410932023, 353, 3, 350, 0, 0, 0
222, 1, 1636410932286, 1636410932639, 353, 3, 350, 0, 0, 0
225, 1, 1636410932906, 1636410933258, 352, 3, 349, 0, 0, 0
228, 1, 1636410933522, 1636410933878, 356, 2, 354, 1, 0, 1
231, 1, 1636410934142, 1636410934498, 356, 2, 354, 0, 0, 0
234, 1, 1636410934762, 1636410935114, 352, 3, 349, 0, 0, 0
237, 1, 1636410935378, 1636410935730, 352, 3, 349, 1, 0, 1
240, 1, 1636410935994, 1636410936354, 360, 2, 358, 1, 0, 1
243, 1, 1636410936618, 1636410936970, 352, 2, 350, 1, 0, 1
301, 1, 1636411076986, 1636411077458, 472, 13, 459, 0, 0, 0
302, 1, 1636411077963, 1636411078367, 404, 0, 404, 0, 0, 0
303, 1, 1636411078039, 1636411078442, 403, 2, 401, 1, 1, 2
304, 1, 1636411078963, 1636411079358, 395, 1, 394, 0, 1, 1
305, 1, 1636411079030, 1636411079439, 409, 1, 408, 0, 1, 1
306, 1, 1636411079370, 1636411079771, 401, 1, 400, 0, 0, 0
307, 1, 1636411079962, 1636411080366, 404, 1, 403, 0, 1, 1
308, 1, 1636411080030, 1636411080434, 404, 0, 404, 0, 0, 0
309, 1, 1636411080370, 1636411080778, 408, 1, 407, 0, 0, 0
310, 1, 1636411080446, 1636411080842, 396, 0, 396, 0, 0, 0
311, 1, 1636411080974, 1636411081370, 396, 1, 395, 0, 1, 1
312, 1, 1636411081050, 1636411081454, 404, 2, 402, 0, 0, 0
313, 1, 1636411081366, 1636411081767, 401, 5, 396, 5, 0, 5
314, 1, 1636411081366, 1636411081767, 401, 2, 399, 1, 1, 2
315, 1, 1636411081386, 1636411081790, 404, 0, 404, 0, 0, 0
316, 1, 1636411081974, 1636411082378, 404, 2, 402, 0, 0, 0
318, 1, 1636411082258, 1636411082539, 281, 1, 280, 0, 0, 0
320, 1, 1636411082342, 1636411082619, 277, 0, 277, 0, 0, 0
319, 1, 1636411082338, 1636411082619, 281, 1, 280, 0, 0, 0
