Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CallRMTime, CommunicationTime, ReadTime, WriteTime, DBTime
1, 1, 1636484673384, 1636484673922, 538, 125, 0, 413, 42, 10, 52
2, 1, 1636484674293, 1636484674694, 401, 2, 0, 399, 0, 0, 0
3, 1, 1636484675002, 1636484675394, 392, 3, 0, 389, 0, 1, 1
4, 1, 1636484675705, 1636484676098, 393, 3, 0, 390, 0, 0, 0
5, 1, 1636484676414, 1636484676810, 396, 3, 0, 393, 1, 1, 2
6, 1, 1636484677118, 1636484677514, 396, 3, 0, 393, 2, 0, 2
7, 1, 1636484677821, 1636484678218, 397, 4, 0, 393, 0, 0, 0
8, 1, 1636484678526, 1636484678922, 396, 2, 0, 394, 0, 0, 0
9, 1, 1636484679225, 1636484679614, 389, 3, 0, 386, 1, 0, 1
10, 1, 1636484679921, 1636484680306, 385, 3, 0, 382, 1, 0, 1
11, 1, 1636484680610, 1636484680997, 387, 3, 0, 384, 1, 0, 1
12, 1, 1636484681305, 1636484681694, 389, 3, 0, 386, 2, 0, 2
13, 1, 1636484681997, 1636484682385, 388, 3, 0, 385, 2, 0, 2
14, 1, 1636484682693, 1636484683082, 389, 3, 0, 386, 2, 0, 2
15, 1, 1636484683386, 1636484683773, 387, 3, 0, 384, 1, 1, 2
16, 1, 1636484684077, 1636484684474, 397, 5, 0, 392, 0, 0, 0
17, 1, 1636484684781, 1636484685173, 392, 3, 0, 389, 0, 0, 0
18, 1, 1636484685433, 1636484685778, 345, 3, 0, 342, 1, 0, 1
19, 1, 1636484686041, 1636484686386, 345, 3, 0, 342, 2, 0, 2
20, 1, 1636484686649, 1636484686998, 349, 3, 0, 346, 0, 0, 0
21, 1, 1636484687261, 1636484687614, 353, 2, 0, 351, 1, 0, 1
22, 1, 1636484687878, 1636484688225, 347, 2, 0, 345, 1, 0, 1
23, 1, 1636484688485, 1636484688829, 344, 2, 0, 342, 1, 1, 2
24, 1, 1636484689089, 1636484689437, 348, 3, 0, 345, 1, 0, 1
25, 1, 1636484689701, 1636484690057, 356, 5, 0, 351, 1, 0, 1
26, 1, 1636484690317, 1636484690662, 345, 3, 0, 342, 1, 0, 1
27, 1, 1636484690925, 1636484691273, 348, 3, 0, 345, 0, 0, 0
28, 1, 1636484691533, 1636484691877, 344, 3, 0, 341, 1, 1, 2
29, 1, 1636484692142, 1636484692489, 347, 2, 0, 345, 0, 0, 0
30, 1, 1636484692749, 1636484693093, 344, 3, 0, 341, 2, 0, 2
31, 1, 1636484693353, 1636484693697, 344, 2, 0, 342, 1, 0, 1
32, 1, 1636484693965, 1636484694310, 345, 3, 0, 342, 0, 0, 0
33, 1, 1636484694573, 1636484694917, 344, 2, 0, 342, 1, 0, 1
34, 1, 1636484695177, 1636484695521, 344, 2, 0, 342, 1, 0, 1
35, 1, 1636484695781, 1636484696125, 344, 1, 0, 343, 0, 0, 0
36, 1, 1636484696385, 1636484696729, 344, 3, 0, 341, 0, 0, 0
37, 1, 1636484696989, 1636484697333, 344, 3, 0, 341, 0, 0, 0
38, 1, 1636484697593, 1636484697941, 348, 2, 0, 346, 2, 0, 2
39, 1, 1636484698201, 1636484698545, 344, 3, 0, 341, 1, 0, 1
40, 1, 1636484698805, 1636484699149, 344, 2, 0, 342, 1, 0, 1
41, 1, 1636484699409, 1636484699753, 344, 3, 0, 341, 3, 0, 3
42, 1, 1636484700013, 1636484700357, 344, 2, 0, 342, 1, 1, 2
43, 1, 1636484700617, 1636484700965, 348, 3, 0, 345, 1, 0, 1
44, 1, 1636484701225, 1636484701569, 344, 2, 0, 342, 1, 1, 2
45, 1, 1636484701829, 1636484702173, 344, 2, 0, 342, 1, 0, 1
46, 1, 1636484702433, 1636484702777, 344, 3, 0, 341, 2, 0, 2
47, 1, 1636484703041, 1636484703389, 348, 3, 0, 345, 3, 0, 3
48, 1, 1636484703649, 1636484703997, 348, 2, 0, 346, 1, 0, 1
49, 1, 1636484704257, 1636484704601, 344, 1, 0, 343, 0, 1, 1
50, 1, 1636484704861, 1636484705205, 344, 3, 0, 341, 0, 0, 0
51, 1, 1636484705461, 1636484705805, 344, 2, 0, 342, 1, 0, 1
52, 1, 1636484706065, 1636484706413, 348, 3, 0, 345, 1, 0, 1
53, 1, 1636484706673, 1636484707017, 344, 2, 0, 342, 0, 0, 0
54, 1, 1636484707277, 1636484707621, 344, 2, 0, 342, 0, 1, 1
55, 1, 1636484707881, 1636484708225, 344, 2, 0, 342, 0, 0, 0
56, 1, 1636484708489, 1636484708833, 344, 3, 0, 341, 1, 0, 1
57, 1, 1636484709093, 1636484709437, 344, 2, 0, 342, 0, 0, 0
58, 1, 1636484709697, 1636484710041, 344, 3, 0, 341, 1, 0, 1
59, 1, 1636484710297, 1636484710641, 344, 2, 0, 342, 1, 0, 1
60, 1, 1636484710901, 1636484711245, 344, 1, 0, 343, 1, 0, 1
61, 1, 1636484711505, 1636484711849, 344, 1, 0, 343, 0, 1, 1
62, 1, 1636484712109, 1636484712453, 344, 3, 0, 341, 2, 1, 3
63, 1, 1636484712713, 1636484713061, 348, 3, 0, 345, 1, 1, 2
64, 1, 1636484713321, 1636484713665, 344, 2, 0, 342, 1, 0, 1
65, 1, 1636484713929, 1636484714277, 348, 3, 0, 345, 2, 0, 2
66, 1, 1636484714533, 1636484714877, 344, 1, 0, 343, 0, 0, 0
67, 1, 1636484715133, 1636484715477, 344, 2, 0, 342, 0, 0, 0
68, 1, 1636484715737, 1636484716081, 344, 3, 0, 341, 1, 0, 1
69, 1, 1636484716341, 1636484716685, 344, 1, 0, 343, 1, 0, 1
70, 1, 1636484716941, 1636484717285, 344, 2, 0, 342, 0, 1, 1
71, 1, 1636484717545, 1636484717889, 344, 1, 0, 343, 0, 0, 0
72, 1, 1636484718149, 1636484718493, 344, 2, 0, 342, 0, 1, 1
73, 1, 1636484718753, 1636484719097, 344, 2, 0, 342, 1, 1, 2
74, 1, 1636484719357, 1636484719701, 344, 2, 0, 342, 0, 1, 1
75, 1, 1636484719961, 1636484720305, 344, 1, 0, 343, 0, 0, 0
76, 1, 1636484720561, 1636484720905, 344, 1, 0, 343, 0, 0, 0
77, 1, 1636484721161, 1636484721505, 344, 2, 0, 342, 1, 0, 1
78, 1, 1636484721765, 1636484722109, 344, 1, 0, 343, 0, 1, 1
79, 1, 1636484722369, 1636484722713, 344, 2, 0, 342, 1, 0, 1
80, 1, 1636484722969, 1636484723313, 344, 1, 0, 343, 0, 0, 0
81, 1, 1636484723569, 1636484723913, 344, 2, 0, 342, 0, 0, 0
82, 1, 1636484724173, 1636484724521, 348, 3, 0, 345, 0, 1, 1
83, 1, 1636484724785, 1636484725129, 344, 2, 0, 342, 1, 1, 2
84, 1, 1636484725385, 1636484725729, 344, 2, 0, 342, 1, 0, 1
85, 1, 1636484725989, 1636484726337, 348, 3, 0, 345, 1, 0, 1
86, 1, 1636484726597, 1636484726945, 348, 2, 0, 346, 1, 0, 1
87, 1, 1636484727201, 1636484727545, 344, 2, 0, 342, 1, 0, 1
88, 1, 1636484727801, 1636484728145, 344, 2, 0, 342, 0, 1, 1
89, 1, 1636484728405, 1636484728749, 344, 1, 0, 343, 0, 0, 0
90, 1, 1636484729013, 1636484729357, 344, 2, 0, 342, 0, 0, 0
91, 1, 1636484729613, 1636484729957, 344, 1, 0, 343, 1, 0, 1
92, 1, 1636484730217, 1636484730561, 344, 2, 0, 342, 0, 1, 1
93, 1, 1636484730821, 1636484731165, 344, 2, 0, 342, 1, 0, 1
94, 1, 1636484731425, 1636484731769, 344, 1, 0, 343, 0, 0, 0
95, 1, 1636484732029, 1636484732373, 344, 1, 0, 343, 0, 0, 0
96, 1, 1636484732633, 1636484732977, 344, 2, 0, 342, 0, 0, 0
97, 1, 1636484733237, 1636484733581, 344, 1, 0, 343, 0, 0, 0
98, 1, 1636484733841, 1636484734185, 344, 1, 0, 343, 0, 0, 0
99, 1, 1636484734445, 1636484734789, 344, 0, 0, 344, 0, 0, 0
100, 1, 1636484735045, 1636484735389, 344, 0, 0, 344, 0, 0, 0
301, 1, 1636484918961, 1636484919537, 576, 27, 0, 549, 0, 0, 0
302, 1, 1636484919881, 1636484920357, 476, 0, 0, 476, 0, 0, 0
303, 1, 1636484920701, 1636484921177, 476, 0, 0, 476, 0, 0, 0
304, 1, 1636484921521, 1636484921997, 476, 1, 0, 475, 0, 1, 1
305, 1, 1636484922341, 1636484922817, 476, 0, 0, 476, 0, 0, 0
306, 1, 1636484923161, 1636484923641, 480, 0, 0, 480, 0, 0, 0
307, 1, 1636484923985, 1636484924461, 476, 0, 0, 476, 0, 0, 0
308, 1, 1636484924805, 1636484925281, 476, 0, 0, 476, 0, 0, 0
309, 1, 1636484925621, 1636484926097, 476, 0, 0, 476, 0, 0, 0
310, 1, 1636484926437, 1636484926913, 476, 0, 0, 476, 0, 0, 0
311, 1, 1636484927253, 1636484927729, 476, 0, 0, 476, 0, 0, 0
312, 1, 1636484928077, 1636484928553, 476, 1, 0, 475, 0, 1, 1
313, 1, 1636484928905, 1636484929385, 480, 1, 0, 479, 1, 0, 1
314, 1, 1636484929725, 1636484930205, 480, 1, 0, 479, 0, 0, 0
315, 1, 1636484930549, 1636484931025, 476, 1, 0, 475, 0, 0, 0
316, 1, 1636484931369, 1636484931857, 488, 2, 0, 486, 0, 0, 0
317, 1, 1636484932157, 1636484932501, 344, 1, 0, 343, 1, 0, 1
318, 1, 1636484932805, 1636484933149, 344, 1, 0, 343, 1, 0, 1
319, 1, 1636484933445, 1636484933793, 348, 1, 0, 347, 0, 1, 1
320, 1, 1636484934098, 1636484934445, 347, 1, 0, 346, 0, 0, 0
321, 1, 1636484934749, 1636484935093, 344, 1, 0, 343, 0, 1, 1
322, 1, 1636484935397, 1636484935741, 344, 1, 0, 343, 0, 1, 1
323, 1, 1636484936045, 1636484936389, 344, 1, 0, 343, 0, 1, 1
324, 1, 1636484936693, 1636484937037, 344, 1, 0, 343, 0, 1, 1
325, 1, 1636484937337, 1636484937681, 344, 1, 0, 343, 0, 0, 0
326, 1, 1636484937977, 1636484938321, 344, 1, 0, 343, 0, 0, 0
327, 1, 1636484938621, 1636484938965, 344, 1, 0, 343, 0, 1, 1
328, 1, 1636484939265, 1636484939613, 348, 0, 0, 348, 0, 0, 0
329, 1, 1636484939913, 1636484940257, 344, 1, 0, 343, 0, 1, 1
330, 1, 1636484940557, 1636484940901, 344, 1, 0, 343, 0, 1, 1
331, 1, 1636484941201, 1636484941545, 344, 1, 0, 343, 0, 0, 0
332, 1, 1636484941845, 1636484942193, 348, 1, 0, 347, 1, 0, 1
333, 1, 1636484942513, 1636484942881, 368, 1, 0, 367, 0, 0, 0
334, 1, 1636484943185, 1636484943533, 348, 0, 0, 348, 0, 0, 0
335, 1, 1636484943837, 1636484944190, 353, 1, 0, 352, 0, 1, 1
336, 1, 1636484944501, 1636484944849, 348, 1, 0, 347, 0, 1, 1
337, 1, 1636484945149, 1636484945501, 352, 1, 0, 351, 1, 0, 1
338, 1, 1636484945805, 1636484946153, 348, 1, 0, 347, 0, 1, 1
339, 1, 1636484946465, 1636484946809, 344, 0, 0, 344, 0, 0, 0
340, 1, 1636484947113, 1636484947457, 344, 1, 0, 343, 0, 1, 1
341, 1, 1636484947757, 1636484948101, 344, 1, 0, 343, 1, 0, 1
342, 1, 1636484948409, 1636484948765, 356, 1, 0, 355, 0, 0, 0
343, 1, 1636484949069, 1636484949417, 348, 0, 0, 348, 0, 0, 0
344, 1, 1636484949713, 1636484950057, 344, 1, 0, 343, 0, 0, 0
345, 1, 1636484950365, 1636484950713, 348, 1, 0, 347, 0, 0, 0
346, 1, 1636484951021, 1636484951365, 344, 1, 0, 343, 1, 0, 1
347, 1, 1636484951669, 1636484952013, 344, 1, 0, 343, 0, 0, 0
348, 1, 1636484952317, 1636484952661, 344, 0, 0, 344, 0, 0, 0
349, 1, 1636484952961, 1636484953305, 344, 1, 0, 343, 0, 1, 1
350, 1, 1636484953605, 1636484953949, 344, 1, 0, 343, 0, 0, 0
351, 1, 1636484954249, 1636484954593, 344, 0, 0, 344, 0, 0, 0
352, 1, 1636484954897, 1636484955241, 344, 0, 0, 344, 0, 0, 0
353, 1, 1636484955541, 1636484955889, 348, 1, 0, 347, 0, 0, 0
354, 1, 1636484956189, 1636484956533, 344, 1, 0, 343, 0, 0, 0
355, 1, 1636484956833, 1636484957177, 344, 1, 0, 343, 0, 0, 0
356, 1, 1636484957473, 1636484957817, 344, 0, 0, 344, 0, 0, 0
357, 1, 1636484958113, 1636484958457, 344, 0, 0, 344, 0, 0, 0
358, 1, 1636484958753, 1636484959097, 344, 0, 0, 344, 0, 0, 0
359, 1, 1636484959397, 1636484959741, 344, 0, 0, 344, 0, 0, 0
360, 1, 1636484960041, 1636484960385, 344, 1, 0, 343, 0, 0, 0
361, 1, 1636484960689, 1636484961033, 344, 1, 0, 343, 0, 0, 0
362, 1, 1636484961337, 1636484961681, 344, 1, 0, 343, 0, 1, 1
363, 1, 1636484961985, 1636484962329, 344, 1, 0, 343, 0, 0, 0
364, 1, 1636484962633, 1636484962977, 344, 1, 0, 343, 0, 1, 1
365, 1, 1636484963281, 1636484963625, 344, 1, 0, 343, 0, 0, 0
366, 1, 1636484963929, 1636484964273, 344, 0, 0, 344, 0, 0, 0
367, 1, 1636484964573, 1636484964917, 344, 1, 0, 343, 0, 1, 1
368, 1, 1636484965217, 1636484965561, 344, 1, 0, 343, 0, 1, 1
369, 1, 1636484965861, 1636484966205, 344, 1, 0, 343, 0, 0, 0
370, 1, 1636484966509, 1636484966853, 344, 1, 0, 343, 0, 0, 0
371, 1, 1636484967153, 1636484967497, 344, 0, 0, 344, 0, 0, 0
372, 1, 1636484967801, 1636484968145, 344, 1, 0, 343, 0, 0, 0
373, 1, 1636484968453, 1636484968797, 344, 0, 0, 344, 0, 0, 0
374, 1, 1636484969097, 1636484969445, 348, 1, 0, 347, 0, 1, 1
375, 1, 1636484969741, 1636484970089, 348, 1, 0, 347, 0, 0, 0
376, 1, 1636484970393, 1636484970737, 344, 1, 0, 343, 0, 0, 0
377, 1, 1636484971033, 1636484971377, 344, 1, 0, 343, 0, 0, 0
378, 1, 1636484971673, 1636484972017, 344, 0, 0, 344, 0, 0, 0
379, 1, 1636484972317, 1636484972665, 348, 1, 0, 347, 0, 1, 1
380, 1, 1636484972961, 1636484973309, 348, 1, 0, 347, 0, 0, 0
381, 1, 1636484973605, 1636484973949, 344, 1, 0, 343, 0, 0, 0
382, 1, 1636484974245, 1636484974589, 344, 1, 0, 343, 0, 1, 1
383, 1, 1636484974893, 1636484975241, 348, 0, 0, 348, 0, 0, 0
384, 1, 1636484975537, 1636484975885, 348, 0, 0, 348, 0, 0, 0
385, 1, 1636484976181, 1636484976525, 344, 1, 0, 343, 0, 1, 1
386, 1, 1636484976825, 1636484977169, 344, 0, 0, 344, 0, 0, 0
387, 1, 1636484977469, 1636484977817, 348, 0, 0, 348, 0, 0, 0
388, 1, 1636484978121, 1636484978469, 348, 0, 0, 348, 0, 0, 0
389, 1, 1636484978773, 1636484979121, 348, 0, 0, 348, 0, 0, 0
390, 1, 1636484979425, 1636484979773, 348, 1, 0, 347, 1, 0, 1
391, 1, 1636484980077, 1636484980421, 344, 1, 0, 343, 1, 0, 1
392, 1, 1636484980725, 1636484981069, 344, 0, 0, 344, 0, 0, 0
393, 1, 1636484981373, 1636484981717, 344, 0, 0, 344, 0, 0, 0
394, 1, 1636484982021, 1636484982365, 344, 1, 0, 343, 1, 0, 1
395, 1, 1636484982669, 1636484983013, 344, 0, 0, 344, 0, 0, 0
396, 1, 1636484983317, 1636484983661, 344, 1, 0, 343, 0, 0, 0
397, 1, 1636484983957, 1636484984301, 344, 1, 0, 343, 0, 0, 0
398, 1, 1636484984601, 1636484984945, 344, 1, 0, 343, 0, 1, 1
399, 1, 1636484985245, 1636484985589, 344, 1, 0, 343, 1, 0, 1
400, 1, 1636484985893, 1636484986237, 344, 0, 0, 344, 0, 0, 0
