Xid, State, StartTime, EndTime, ExecuteTime, ReadTime, WriteTime, DBTime
1, 1, 1636321266599, 1636321266731, 132, 0, 0, 0
2, 1, 1636321266744, 1636321266762, 18, 0, 0, 0
3, 1, 1636321266763, 1636321266779, 16, 0, 0, 0
4, 1, 1636321266780, 1636321266794, 14, 0, 0, 0
5, 1, 1636321266795, 1636321266804, 9, 0, 0, 0
6, 1, 1636321266805, 1636321266813, 8, 0, 0, 0
7, 1, 1636321266814, 1636321266822, 8, 0, 0, 0
8, 1, 1636321266822, 1636321266829, 7, 0, 0, 0
9, 1, 1636321266830, 1636321266837, 7, 0, 0, 0
10, 1, 1636321266837, 1636321266844, 7, 0, 0, 0
11, 1, 1636321266845, 1636321266855, 10, 0, 0, 0
12, 1, 1636321266855, 1636321266863, 8, 0, 0, 0
13, 1, 1636321266863, 1636321266872, 9, 0, 0, 0
14, 1, 1636321266872, 1636321266879, 7, 0, 0, 0
15, 1, 1636321266880, 1636321266889, 9, 0, 0, 0
16, 1, 1636321266890, 1636321266900, 10, 0, 0, 0
17, 1, 1636321266900, 1636321266908, 8, 0, 0, 0
18, 1, 1636321266909, 1636321266916, 7, 0, 0, 0
19, 1, 1636321266916, 1636321266922, 6, 0, 0, 0
20, 1, 1636321266922, 1636321266929, 7, 0, 0, 0
21, 1, 1636321266929, 1636321266935, 6, 0, 0, 0
22, 1, 1636321266935, 1636321266941, 6, 0, 0, 0
23, 1, 1636321266942, 1636321266947, 5, 0, 0, 0
24, 1, 1636321266948, 1636321266954, 6, 0, 0, 0
25, 1, 1636321266954, 1636321266960, 6, 0, 0, 0
26, 1, 1636321266960, 1636321266966, 6, 0, 0, 0
27, 1, 1636321266967, 1636321266977, 10, 0, 0, 0
28, 1, 1636321266977, 1636321266985, 8, 0, 0, 0
29, 1, 1636321266985, 1636321266991, 6, 0, 0, 0
30, 1, 1636321266991, 1636321266997, 6, 0, 0, 0
31, 1, 1636321266997, 1636321267002, 5, 0, 0, 0
32, 1, 1636321267003, 1636321267010, 7, 0, 0, 0
33, 1, 1636321267010, 1636321267017, 7, 0, 0, 0
34, 1, 1636321267017, 1636321267022, 5, 0, 0, 0
35, 1, 1636321267022, 1636321267027, 5, 0, 0, 0
36, 1, 1636321267028, 1636321267034, 6, 0, 0, 0
37, 1, 1636321267035, 1636321267041, 6, 0, 0, 0
38, 1, 1636321267041, 1636321267046, 5, 0, 0, 0
39, 1, 1636321267047, 1636321267053, 6, 0, 0, 0
40, 1, 1636321267053, 1636321267059, 6, 0, 0, 0
41, 1, 1636321267060, 1636321267066, 6, 0, 0, 0
42, 1, 1636321267066, 1636321267072, 6, 0, 0, 0
43, 1, 1636321267072, 1636321267080, 8, 0, 0, 0
44, 1, 1636321267080, 1636321267087, 7, 0, 0, 0
45, 1, 1636321267087, 1636321267094, 7, 0, 0, 0
46, 1, 1636321267095, 1636321267102, 7, 0, 0, 0
47, 1, 1636321267102, 1636321267109, 7, 0, 0, 0
48, 1, 1636321267109, 1636321267116, 7, 0, 0, 0
49, 1, 1636321267116, 1636321267124, 8, 0, 0, 0
50, 1, 1636321267124, 1636321267130, 6, 0, 0, 0
51, 1, 1636321267130, 1636321267136, 6, 0, 0, 0
52, 1, 1636321267136, 1636321267142, 6, 0, 0, 0
53, 1, 1636321267142, 1636321267148, 6, 0, 0, 0
54, 1, 1636321267148, 1636321267154, 6, 0, 0, 0
55, 1, 1636321267154, 1636321267160, 6, 0, 0, 0
56, 1, 1636321267161, 1636321267166, 5, 0, 0, 0
57, 1, 1636321267167, 1636321267172, 5, 0, 0, 0
58, 1, 1636321267172, 1636321267178, 6, 0, 0, 0
59, 1, 1636321267178, 1636321267184, 6, 0, 0, 0
60, 1, 1636321267185, 1636321267190, 5, 0, 0, 0
61, 1, 1636321267190, 1636321267196, 6, 0, 0, 0
62, 1, 1636321267196, 1636321267202, 6, 0, 0, 0
63, 1, 1636321267203, 1636321267209, 6, 0, 0, 0
64, 1, 1636321267209, 1636321267215, 6, 0, 0, 0
65, 1, 1636321267216, 1636321267222, 6, 0, 0, 0
66, 1, 1636321267223, 1636321267228, 5, 0, 0, 0
67, 1, 1636321267228, 1636321267233, 5, 0, 0, 0
68, 1, 1636321267233, 1636321267239, 6, 0, 0, 0
69, 1, 1636321267240, 1636321267245, 5, 0, 0, 0
70, 1, 1636321267245, 1636321267250, 5, 0, 0, 0
71, 1, 1636321267250, 1636321267255, 5, 0, 0, 0
72, 1, 1636321267256, 1636321267262, 6, 0, 0, 0
73, 1, 1636321267262, 1636321267266, 4, 0, 0, 0
74, 1, 1636321267267, 1636321267272, 5, 0, 0, 0
75, 1, 1636321267272, 1636321267278, 6, 0, 0, 0
76, 1, 1636321267278, 1636321267283, 5, 0, 0, 0
77, 1, 1636321267284, 1636321267289, 5, 0, 0, 0
78, 1, 1636321267289, 1636321267294, 5, 0, 0, 0
79, 1, 1636321267294, 1636321267300, 6, 0, 0, 0
80, 1, 1636321267300, 1636321267305, 5, 0, 0, 0
81, 1, 1636321267306, 1636321267310, 4, 0, 0, 0
82, 1, 1636321267310, 1636321267315, 5, 0, 0, 0
83, 1, 1636321267315, 1636321267320, 5, 0, 0, 0
84, 1, 1636321267321, 1636321267326, 5, 0, 0, 0
85, 1, 1636321267326, 1636321267331, 5, 0, 0, 0
86, 1, 1636321267331, 1636321267337, 6, 0, 0, 0
87, 1, 1636321267337, 1636321267343, 6, 0, 0, 0
88, 1, 1636321267344, 1636321267348, 4, 0, 0, 0
89, 1, 1636321267348, 1636321267353, 5, 0, 0, 0
90, 1, 1636321267353, 1636321267359, 6, 0, 0, 0
91, 1, 1636321267359, 1636321267365, 6, 0, 0, 0
92, 1, 1636321267365, 1636321267371, 6, 0, 0, 0
93, 1, 1636321267371, 1636321267377, 6, 0, 0, 0
94, 1, 1636321267377, 1636321267382, 5, 0, 0, 0
95, 1, 1636321267383, 1636321267389, 6, 0, 0, 0
96, 1, 1636321267390, 1636321267395, 5, 0, 0, 0
97, 1, 1636321267395, 1636321267401, 6, 0, 0, 0
98, 1, 1636321267401, 1636321267406, 5, 0, 0, 0
99, 1, 1636321267407, 1636321267411, 4, 0, 0, 0
100, 1, 1636321267412, 1636321267416, 4, 0, 0, 0
101, 1, 1636321280273, 1636321280366, 93, 0, 0, 0
102, 1, 1636321280367, 1636321280379, 12, 0, 0, 0
103, 1, 1636321280380, 1636321280392, 12, 0, 0, 0
104, 1, 1636321280393, 1636321280406, 13, 0, 0, 0
105, 1, 1636321280407, 1636321280419, 12, 0, 0, 0
106, 1, 1636321280420, 1636321280432, 12, 0, 0, 0
107, 1, 1636321280432, 1636321280442, 10, 0, 0, 0
108, 1, 1636321280442, 1636321280455, 13, 0, 0, 0
109, 1, 1636321280455, 1636321280465, 10, 0, 0, 0
110, 1, 1636321280466, 1636321280479, 13, 0, 0, 0
111, 1, 1636321280480, 1636321280496, 16, 0, 0, 0
112, 1, 1636321280496, 1636321280507, 11, 0, 0, 0
113, 1, 1636321280508, 1636321280516, 8, 0, 0, 0
114, 1, 1636321280516, 1636321280527, 11, 0, 0, 0
115, 1, 1636321280528, 1636321280535, 7, 0, 0, 0
116, 1, 1636321280535, 1636321280545, 10, 0, 0, 0
117, 1, 1636321280545, 1636321280553, 8, 0, 0, 0
118, 1, 1636321280553, 1636321280559, 6, 0, 0, 0
119, 1, 1636321280559, 1636321280566, 7, 0, 0, 0
120, 1, 1636321280566, 1636321280575, 9, 0, 0, 0
121, 1, 1636321280575, 1636321280583, 8, 0, 0, 0
122, 1, 1636321280583, 1636321280591, 8, 0, 0, 0
123, 1, 1636321280591, 1636321280599, 8, 0, 0, 0
124, 1, 1636321280600, 1636321280607, 7, 0, 0, 0
125, 1, 1636321280607, 1636321280615, 8, 0, 0, 0
126, 1, 1636321280615, 1636321280621, 6, 0, 0, 0
127, 1, 1636321280621, 1636321280628, 7, 0, 0, 0
128, 1, 1636321280628, 1636321280637, 9, 0, 0, 0
129, 1, 1636321280637, 1636321280644, 7, 0, 0, 0
130, 1, 1636321280645, 1636321280652, 7, 0, 0, 0
131, 1, 1636321280652, 1636321280660, 8, 0, 0, 0
132, 1, 1636321280660, 1636321280668, 8, 0, 0, 0
133, 1, 1636321280668, 1636321280674, 6, 0, 0, 0
134, 1, 1636321280674, 1636321280683, 9, 0, 0, 0
135, 1, 1636321280683, 1636321280692, 9, 0, 0, 0
136, 1, 1636321280692, 1636321280700, 8, 0, 0, 0
137, 1, 1636321280700, 1636321280708, 8, 0, 0, 0
138, 1, 1636321280708, 1636321280717, 9, 0, 0, 0
139, 1, 1636321280718, 1636321280725, 7, 0, 0, 0
140, 1, 1636321280726, 1636321280733, 7, 0, 0, 0
141, 1, 1636321280733, 1636321280742, 9, 0, 0, 0
142, 1, 1636321280742, 1636321280748, 6, 0, 0, 0
143, 1, 1636321280749, 1636321280756, 7, 0, 0, 0
144, 1, 1636321280756, 1636321280764, 8, 0, 0, 0
145, 1, 1636321280764, 1636321280771, 7, 0, 0, 0
146, 1, 1636321280771, 1636321280778, 7, 0, 0, 0
147, 1, 1636321280778, 1636321280787, 9, 0, 0, 0
148, 1, 1636321280788, 1636321280796, 8, 0, 0, 0
149, 1, 1636321280797, 1636321280804, 7, 0, 0, 0
150, 1, 1636321280805, 1636321280813, 8, 0, 0, 0
