Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CommunicationTime, ReadTime, WriteTime, DBTime
1, 1, 1636429417548, 1636429418330, 782, 415, 367, 0, 12, 12
2, 1, 1636429418414, 1636429419086, 672, 274, 398, 0, 0, 0
3, 1, 1636429419132, 1636429419814, 682, 278, 404, 0, 1, 1
4, 1, 1636429419859, 1636429420538, 679, 278, 401, 0, 1, 1
5, 1, 1636429420584, 1636429421262, 678, 276, 402, 0, 0, 0
6, 1, 1636429421308, 1636429421982, 674, 276, 398, 0, 0, 0
7, 1, 1636429422027, 1636429422702, 675, 274, 401, 0, 0, 0
8, 1, 1636429422748, 1636429423422, 674, 275, 399, 0, 1, 1
9, 1, 1636429423468, 1636429424154, 686, 278, 408, 0, 0, 0
10, 1, 1636429424199, 1636429424874, 675, 276, 399, 0, 1, 1
11, 1, 1636429424919, 1636429425594, 675, 276, 399, 0, 0, 0
12, 1, 1636429425639, 1636429426314, 675, 277, 398, 0, 1, 1
13, 1, 1636429426359, 1636429427034, 675, 275, 400, 0, 1, 1
14, 1, 1636429427079, 1636429427755, 676, 276, 400, 0, 0, 0
15, 1, 1636429427800, 1636429428474, 674, 276, 398, 0, 0, 0
16, 1, 1636429428205, 1636429428970, 765, 380, 385, 0, 2, 2
17, 1, 1636429428519, 1636429429195, 676, 277, 399, 0, 0, 0
18, 1, 1636429429036, 1636429429710, 674, 273, 401, 0, 0, 0
19, 1, 1636429429239, 1636429429870, 631, 275, 356, 0, 0, 0
20, 1, 1636429429756, 1636429430430, 674, 272, 402, 0, 0, 0
21, 1, 1636429429872, 1636429430502, 630, 276, 354, 0, 0, 0
22, 1, 1636429430432, 1636429431106, 674, 272, 402, 0, 0, 0
23, 1, 1636429430505, 1636429431143, 638, 276, 362, 0, 0, 0
25, 1, 1636429431145, 1636429431770, 625, 268, 357, 0, 0, 0
24, 1, 1636429431108, 1636429431778, 670, 272, 398, 0, 1, 1
26, 1, 1636429431772, 1636429432394, 622, 272, 350, 0, 0, 0
27, 1, 1636429431781, 1636429432454, 673, 272, 401, 0, 0, 0
28, 1, 1636429432397, 1636429433030, 633, 274, 359, 0, 0, 0
29, 1, 1636429432457, 1636429433130, 673, 273, 400, 0, 0, 0
30, 1, 1636429433033, 1636429433662, 629, 275, 354, 0, 0, 0
31, 1, 1636429433133, 1636429433806, 673, 273, 400, 0, 0, 0
32, 1, 1636429433665, 1636429434298, 633, 274, 359, 0, 0, 0
33, 1, 1636429433809, 1636429434486, 677, 272, 405, 0, 0, 0
34, 1, 1636429434300, 1636429434930, 630, 274, 356, 0, 0, 0
35, 1, 1636429434489, 1636429435162, 673, 273, 400, 0, 0, 0
36, 1, 1636429434932, 1636429435550, 618, 264, 354, 0, 0, 0
37, 1, 1636429435164, 1636429435838, 674, 273, 401, 0, 0, 0
38, 1, 1636429435553, 1636429436186, 633, 276, 357, 0, 0, 0
39, 1, 1636429435841, 1636429436510, 669, 273, 396, 0, 0, 0
40, 1, 1636429436188, 1636429436810, 622, 267, 355, 0, 0, 0
41, 1, 1636429436513, 1636429437186, 673, 270, 403, 0, 0, 0
42, 1, 1636429436813, 1636429437446, 633, 275, 358, 0, 0, 0
43, 1, 1636429437188, 1636429437854, 666, 268, 398, 0, 0, 0
44, 1, 1636429437448, 1636429438074, 626, 267, 359, 0, 0, 0
45, 1, 1636429437857, 1636429438530, 673, 274, 399, 0, 0, 0
46, 1, 1636429438076, 1636429438702, 626, 271, 355, 0, 0, 0
47, 1, 1636429438533, 1636429439206, 673, 273, 400, 0, 0, 0
48, 1, 1636429438704, 1636429439334, 630, 274, 356, 0, 0, 0
49, 1, 1636429439209, 1636429439830, 621, 268, 353, 0, 0, 0
50, 1, 1636429439336, 1636429439966, 630, 269, 361, 0, 0, 0
51, 1, 1636429439832, 1636429440458, 626, 270, 356, 0, 0, 0
52, 1, 1636429439969, 1636429440598, 629, 271, 358, 0, 0, 0
53, 1, 1636429440461, 1636429441090, 629, 273, 356, 0, 0, 0
54, 1, 1636429440601, 1636429441226, 625, 266, 359, 0, 0, 0
55, 1, 1636429441091, 1636429441722, 631, 273, 358, 0, 0, 0
56, 1, 1636429441228, 1636429441858, 630, 273, 357, 0, 0, 0
57, 1, 1636429441724, 1636429442354, 630, 274, 356, 0, 0, 0
58, 1, 1636429441860, 1636429442486, 626, 276, 350, 0, 0, 0
59, 1, 1636429442357, 1636429442986, 629, 273, 356, 0, 0, 0
60, 1, 1636429442489, 1636429443114, 625, 272, 353, 0, 0, 0
61, 1, 1636429442989, 1636429443618, 629, 275, 354, 0, 0, 0
62, 1, 1636429443116, 1636429443750, 634, 275, 359, 0, 0, 0
63, 1, 1636429443266, 1636429444014, 748, 366, 382, 0, 0, 0
64, 1, 1636429443620, 1636429444246, 626, 270, 356, 0, 0, 0
