Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CommunicationTime, ReadTime, WriteTime, DBTime
77, 1, 1636423690807, 1636423691314, 507, 89, 418, 32, 5, 37
80, 1, 1636423691658, 1636423692071, 413, 4, 409, 2, 1, 3
84, 1, 1636423692338, 1636423692750, 412, 4, 408, 2, 1, 3
87, 1, 1636423693018, 1636423693431, 413, 4, 409, 2, 0, 2
90, 1, 1636423693698, 1636423694107, 409, 4, 405, 0, 1, 1
93, 1, 1636423694374, 1636423694786, 412, 4, 408, 2, 0, 2
96, 1, 1636423695058, 1636423695466, 408, 3, 405, 0, 1, 1
99, 1, 1636423695734, 1636423696142, 408, 3, 405, 3, 0, 3
103, 1, 1636423696410, 1636423696830, 420, 4, 416, 1, 0, 1
106, 1, 1636423697102, 1636423697510, 408, 4, 404, 2, 0, 2
109, 1, 1636423697778, 1636423698186, 408, 4, 404, 1, 0, 1
112, 1, 1636423698454, 1636423698862, 408, 4, 404, 2, 0, 2
115, 1, 1636423699130, 1636423699538, 408, 2, 406, 0, 1, 1
118, 1, 1636423699810, 1636423700218, 408, 3, 405, 1, 0, 1
122, 1, 1636423700486, 1636423700894, 408, 3, 405, 1, 0, 1
125, 1, 1636423701162, 1636423701571, 409, 6, 403, 0, 1, 1
128, 1, 1636423701838, 1636423702202, 364, 3, 361, 0, 1, 1
131, 1, 1636423702474, 1636423702838, 364, 2, 362, 0, 1, 1
134, 1, 1636423703106, 1636423703466, 360, 1, 359, 0, 1, 1
137, 1, 1636423703734, 1636423704098, 364, 3, 361, 0, 1, 1
140, 1, 1636423704366, 1636423704730, 364, 2, 362, 1, 0, 1
143, 1, 1636423704994, 1636423705358, 364, 2, 362, 0, 0, 0
146, 1, 1636423705626, 1636423705990, 364, 2, 362, 0, 1, 1
149, 1, 1636423706254, 1636423706618, 364, 2, 362, 1, 0, 1
152, 1, 1636423706886, 1636423707250, 364, 2, 362, 0, 1, 1
155, 1, 1636423707518, 1636423707878, 360, 2, 358, 0, 0, 0
158, 1, 1636423708146, 1636423708510, 364, 1, 363, 0, 1, 1
161, 1, 1636423708782, 1636423709146, 364, 1, 363, 0, 1, 1
164, 1, 1636423709414, 1636423709778, 364, 3, 361, 0, 0, 0
167, 1, 1636423710046, 1636423710410, 364, 3, 361, 0, 0, 0
170, 1, 1636423710674, 1636423711038, 364, 2, 362, 0, 0, 0
173, 1, 1636423711306, 1636423711670, 364, 1, 363, 0, 0, 0
176, 1, 1636423711938, 1636423712302, 364, 2, 362, 0, 0, 0
179, 1, 1636423712570, 1636423712934, 364, 1, 363, 0, 0, 0
182, 1, 1636423713202, 1636423713566, 364, 0, 364, 0, 0, 0
185, 1, 1636423713834, 1636423714198, 364, 2, 362, 0, 0, 0
188, 1, 1636423714466, 1636423714826, 360, 1, 359, 0, 0, 0
191, 1, 1636423715094, 1636423715458, 364, 2, 362, 0, 0, 0
194, 1, 1636423715722, 1636423716082, 360, 1, 359, 0, 0, 0
197, 1, 1636423716350, 1636423716714, 364, 1, 363, 0, 0, 0
200, 1, 1636423716982, 1636423717342, 360, 1, 359, 0, 0, 0
203, 1, 1636423717610, 1636423717974, 364, 0, 364, 0, 0, 0
206, 1, 1636423718246, 1636423718610, 364, 2, 362, 0, 1, 1
209, 1, 1636423718882, 1636423719246, 364, 1, 363, 0, 0, 0
212, 1, 1636423719510, 1636423719874, 364, 0, 364, 0, 0, 0
215, 1, 1636423720142, 1636423720506, 364, 2, 362, 0, 0, 0
218, 1, 1636423720778, 1636423721142, 364, 1, 363, 0, 0, 0
221, 1, 1636423721406, 1636423721770, 364, 3, 361, 0, 0, 0
224, 1, 1636423722038, 1636423722402, 364, 1, 363, 0, 0, 0
227, 1, 1636423722670, 1636423723034, 364, 0, 364, 0, 0, 0
230, 1, 1636423723306, 1636423723670, 364, 1, 363, 0, 0, 0
233, 1, 1636423723938, 1636423724302, 364, 1, 363, 0, 0, 0
236, 1, 1636423724570, 1636423724934, 364, 1, 363, 0, 0, 0
239, 1, 1636423725202, 1636423725566, 364, 0, 364, 0, 0, 0
242, 1, 1636423725834, 1636423726198, 364, 1, 363, 0, 0, 0
245, 1, 1636423726466, 1636423726830, 364, 1, 363, 0, 0, 0
248, 1, 1636423727098, 1636423727462, 364, 0, 364, 0, 0, 0
251, 1, 1636423727730, 1636423728094, 364, 1, 363, 0, 0, 0
254, 1, 1636423728362, 1636423728722, 360, 0, 360, 0, 0, 0
257, 1, 1636423728990, 1636423729354, 364, 0, 364, 0, 0, 0
260, 1, 1636423729626, 1636423729990, 364, 1, 363, 0, 0, 0
263, 1, 1636423730258, 1636423730622, 364, 1, 363, 0, 0, 0
266, 1, 1636423730890, 1636423731258, 368, 1, 367, 0, 0, 0
269, 1, 1636423731526, 1636423731890, 364, 0, 364, 0, 0, 0
