Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CallRMTime, CommunicationTime, ReadTime, WriteTime, DBTime
201, 1, 1636484820819, 1636484821321, 502, 102, 0, 400, 35, 10, 45
202, 1, 1636484821610, 1636484822007, 397, 3, 0, 394, 3, 0, 3
203, 1, 1636484822266, 1636484822662, 396, 3, 0, 393, 2, 0, 2
204, 1, 1636484822922, 1636484823318, 396, 3, 0, 393, 3, 0, 3
205, 1, 1636484823578, 1636484823974, 396, 3, 0, 393, 2, 0, 2
206, 1, 1636484824234, 1636484824630, 396, 3, 0, 393, 3, 0, 3
207, 1, 1636484824890, 1636484825290, 400, 3, 0, 397, 1, 0, 1
208, 1, 1636484825550, 1636484825946, 396, 3, 0, 393, 2, 0, 2
209, 1, 1636484826206, 1636484826602, 396, 2, 0, 394, 2, 0, 2
210, 1, 1636484826866, 1636484827262, 396, 3, 0, 393, 2, 0, 2
211, 1, 1636484827522, 1636484827922, 400, 3, 0, 397, 3, 0, 3
212, 1, 1636484828194, 1636484828590, 396, 3, 0, 393, 2, 0, 2
213, 1, 1636484828850, 1636484829246, 396, 2, 0, 394, 1, 0, 1
214, 1, 1636484829506, 1636484829902, 396, 3, 0, 393, 1, 1, 2
215, 1, 1636484830162, 1636484830562, 400, 2, 0, 398, 1, 1, 2
216, 1, 1636484830822, 1636484831218, 396, 4, 0, 392, 1, 0, 1
217, 1, 1636484831478, 1636484831834, 356, 3, 0, 353, 1, 0, 1
218, 1, 1636484832094, 1636484832446, 352, 1, 0, 351, 0, 0, 0
219, 1, 1636484832706, 1636484833058, 352, 2, 0, 350, 0, 0, 0
220, 1, 1636484833318, 1636484833670, 352, 1, 0, 351, 0, 1, 1
221, 1, 1636484833930, 1636484834282, 352, 3, 0, 349, 1, 1, 2
222, 1, 1636484834542, 1636484834898, 356, 2, 0, 354, 0, 0, 0
223, 1, 1636484835158, 1636484835510, 352, 3, 0, 349, 1, 0, 1
224, 1, 1636484835770, 1636484836122, 352, 0, 0, 352, 0, 0, 0
225, 1, 1636484836382, 1636484836734, 352, 1, 0, 351, 0, 0, 0
226, 1, 1636484836994, 1636484837346, 352, 1, 0, 351, 0, 1, 1
227, 1, 1636484837606, 1636484837958, 352, 2, 0, 350, 0, 0, 0
228, 1, 1636484838218, 1636484838574, 356, 1, 0, 355, 0, 0, 0
